Average,189 Wh/km
Tesla Model 3,137
Tesla Model 3 Long Range RWD,138
Tesla Model 3 Long Range Dual Motor,143
Mini Cooper E,146
Mini Cooper SE,149
Hyundai IONIQ 6 Standard Range 2WD,149
Citroen e-C4 X 54 kWh,149
Hyundai IONIQ 6 Long Range 2WD,149
Mercedes-Benz CLA 250+,150
Dacia Spring Electric 45,152
Citroen e-C4 54 kWh,152
Dongfeng Box 31.4 kWh,153
Opel Corsa Electric 51 kWh,153
Hyundai INSTER Standard Range,153
Tesla Model 3 Performance,153
Hyundai INSTER Long Range,153
Citroen e-C4 X 54 kWh,154
Mercedes-Benz CLA 350 4MATIC,155
Kia EV4 Sedan Standard Range,155
Lancia Ypsilon,155
Peugeot e-208 51 kWh,155
Peugeot e-408 58 kWh,155
BMW i4 eDrive35,156
Dacia Spring Electric 65,156
Audi A6 Sportback e-tron,156
Leapmotor T03,157
Renault 5 E-Tech 40kWh 95hp,157
Dongfeng Box 42.3 kWh,157
Opel Corsa Electric 50 kWh,157
Citroen e-C4 X,157
Kia EV4 Sedan Long Range,158
Fiat 500e Hatchback 24 kWh,158
Fiat 500e 3+1 24 kWh,158
Fiat 500e Cabrio 24 kWh,158
BMW i4 eDrive40,158
Renault Megane E-Tech EV60 130hp,158
Renault Megane E-Tech EV60 220hp,158
Renault Megane E-Tech EV60 220hp,158
Audi A6 Sportback e-tron performance,158
Ford Puma Gen-E,159
Lucid Air Touring,159
Fiat 500e Hatchback 42 kWh,159
Fiat 500e 3+1 42 kWh,159
Opel Astra Electric,159
Alfa Romeo Junior Elettrica 54 kWh,159
Skoda Enyaq Coupe 60,159
Audi A6 Avant e-tron,160
Peugeot e-208 50 kWh,160
Citroen e-C4,160
Renault 5 E-Tech 40kWh 120hp,160
Kia EV4 Hatchback Standard Range,162
Volkswagen ID.7 Pro,162
Fiat 500e Cabrio 42 kWh,162
Audi A6 Sportback e-tron quattro,162
Citroen e-C4 X,162
Volkswagen ID.5 Pure,163
Renault 5 E-Tech 52kWh 150hp,163
Volkswagen ID.3 Pure,163
Ford Capri Standard Range RWD,163
Lucid Air Pure RWD,163
Tesla Model Y Long Range RWD,163
Renault 4 E-Tech 40kWh 120hp,163
BMW iX2 eDrive20,164
Volkswagen ID.7 Pro S,164
Skoda Enyaq Coupe 85,164
Volkswagen ID.7 Tourer Pro,164
Polestar 2 Standard Range Single Motor,164
Opel Astra Sports Tourer Electric,164
Jeep Avenger Electric,164
Alfa Romeo Junior Elettrica 54 kWh Veloce,164
Fiat 600e,164
Volkswagen ID.3 Pro,164
CUPRA Born 170 kW - 59 kWh,164
Hyundai Kona Electric 48 kWh,164
Kia EV4 Hatchback Long Range,164
Tesla Model Y RWD,164
Renault 4 E-Tech 52kWh 150hp,165
Tesla Model S Dual Motor,165
Volkswagen ID.7 Tourer Pro S,165
Skoda Enyaq Coupe 85x,166
BMW iX1 eDrive20,166
BMW i4 xDrive40,166
BYD SEAL 61.4 kWh RWD Comfort,166
Skoda Enyaq 60,166
Porsche Taycan,166
Polestar 2 Long Range Single Motor,166
Tesla Model Y Long Range AWD,167
Tesla Model Y Long Range AWD Launch Series,167
XPENG P7 RWD Long Range,167
Skoda Enyaq 85,167
Mini Aceman E,167
CUPRA Born 170 kW - 77 kWh,167
Hyundai Kona Electric 65 kWh,168
Skoda Elroq 50,168
Alpine A290 Electric 180 hp,168
Mercedes-Benz EQA 250+,168
Porsche Taycan 4S,168
Porsche Taycan 4,168
Audi A6 Avant e-tron performance,168
Abarth 500e Hatchback,168
Abarth 500e Convertible,168
BMW iX2 xDrive30,168
Hyundai IONIQ 6 Long Range AWD,168
Kia Niro EV,168
Mercedes-Benz EQA 250,168
Lucid Air Grand Touring,168
Fiat Grande Panda,168
Skoda Elroq 60,169
Porsche Taycan Plus,169
Kia EV6 Standard Range 2WD,169
BMW i5 eDrive40 Sedan,169
Mazda 6e,169
Kia EV3 Standard Range,169
Ford Capri Extended Range RWD,169
Volkswagen ID.5 Pro,169
Citroen e-C3,169
Peugeot e-2008 54 kWh,169
MG MG4 Electric 51 kWh,169
Peugeot e-308,169
Peugeot e-308 SW,169
DS 3 E-Tense,169
BYD DOLPHIN 44.9 kWh Active,169
Mercedes-Benz EQE 300,170
Tesla Model S Plaid,170
Mini Aceman SE,170
Mini Cooper JCW,170
Mercedes-Benz EQB 250+,170
CUPRA Born VZ,170
Mini Countryman E,170
BMW iX1 xDrive30,170
Mazda 6e Long Range,170
Ford Explorer Standard Range RWD,170
Alpine A290 Electric 220 hp,170
Mercedes-Benz EQS 450+,171
Skoda Enyaq 85x,171
Volkswagen ID.3 Pro S,171
Skoda Elroq 85,171
MG MG5 Electric Long Range,171
MG MG4 Electric 64 kWh,171
Kia EV3 Long Range,171
Aiways U6,171
Peugeot e-2008 50 kWh,171
Porsche Taycan 4S Plus,172
Porsche Taycan 4 Plus,172
Volkswagen ID.3 GTX,172
Volkswagen ID.3 GTX Performance,172
BYD SEAL 82.5 kWh RWD Design,172
Volkswagen ID.7 Tourer GTX,172
Volkswagen ID.7 GTX,172
Audi S6 Sportback e-tron,173
BYD DOLPHIN 44.9 kWh Boost,173
BMW i5 eDrive40 Sedan,173
BYD DOLPHIN 60.4 kWh,173
Mercedes-Benz EQE 350+,173
MG Cyberster Trophy,173
CUPRA Tavascan Endurance,173
Volkswagen ID.4 Pro,173
Audi Q4 Sportback e-tron 40,174
MG MG5 Electric Standard Range,174
Polestar 2 Long Range Dual Motor,174
Ford Capri Extended Range AWD,174
Hyundai IONIQ 5 63 kWh RWD,174
Kia EV6 Long Range 2WD,174
DS N°8 FWD,174
GWM ORA 03 63 kWh,174
MG MGS5  EV 49 kWh,174
GWM ORA 03 48 kWh,175
BMW i5 xDrive40 Sedan,175
BMW i5 eDrive40 Touring,175
Smart #3 Premium,175
Smart #3 Pro+,175
MG MGS5  EV 64 kWh,175
MG MG4 Electric 77 kWh,175
DS N°8 FWD Long Range,175
Lexus RZ 300e,175
Polestar 2 Long Range Performance,176
Mini Aceman JCW,176
Mercedes-Benz EQE 350 4MATIC,176
Citroen e-C3 Aircross,176
Opel Frontera 44 kWh,176
Lynk&Co 02,176
Renault Scenic E-Tech EV60 170hp,176
Omoda E5,177
Mini Countryman SE ALL4,177
Ford Explorer Extended Range RWD,177
Audi Q4 Sportback e-tron 45,177
Volkswagen ID.4 Pro 4MOTION,177
NIO ET7 Standard Range,177
Smart #3 Pro,177
Audi A6 Avant e-tron quattro,177
Volvo EX30 Single Motor ER,178
Hyundai IONIQ 5 84 kWh RWD,178
Kia EV6 Long Range AWD,178
Volvo EX30 Single Motor,178
NIO ET7 Long Range,178
Opel Mokka Electric,178
XPENG G6 RWD Standard Range,178
BMW i5 eDrive40 Touring,178
Mercedes-Benz EQS 450 4MATIC,179
Porsche Taycan Sport Turismo,179
Volkswagen ID.5 GTX,179
NIO ET5 Standard Range,179
Mercedes-Benz EQE 500 4MATIC,179
Ford Explorer Extended Range AWD,180
Audi e-tron GT S,180
XPENG P7 AWD Performance,180
BYD HAN,180
NIO ET5 Long Range,180
Zeekr X Long Range RWD,180
BMW i4 M50,181
Audi S6 Avant e-tron,181
CUPRA Tavascan VZ,181
Renault Scenic E-Tech EV87 220hp,181
Porsche Taycan Turbo,181
Porsche Taycan GTS,181
Abarth 600e Turismo,181
Abarth 600e Scorpionissima,181
Volvo ES90 Single Motor,181
Audi Q4 e-tron 40,182
DS N°8 AWD Long Range,182
XPENG P7 Wing Edition,182
Hyundai IONIQ 5 84 kWh AWD,182
Zeekr 7X Premium RWD,182
XPENG G6 RWD Long Range,182
Volkswagen ID.4 Pure,182
GWM ORA 03 GT,182
BMW i5 xDrive40 Touring,182
Toyota bZ4X FWD,183
Lexus RZ 450e,183
Mercedes-Benz EQS 500 4MATIC,183
Porsche Taycan Plus Sport Turismo,183
BYD ATTO 3,183
Audi Q4 e-tron 45,183
Volkswagen ID.4 GTX,183
GWM ORA 07 Pure,184
GWM ORA 07 Pro,184
NIO ET5 Touring Standard Range,184
BYD ATTO 2,184
XPENG G6 AWD Performance,184
Zeekr 7X Long Range RWD,184
Mercedes-Benz EQS 580 4MATIC,184
MG ZS EV Long Range,185
Porsche Taycan Turbo S,185
Audi e-tron GT RS,185
Audi e-tron GT RS performance,185
Honda e:Ny1,185
Audi Q6 e-tron Sportback,185
MG ZS EV Standard Range,185
Smart #1 Premium,185
Smart #1 Pro+,185
Smart #1 Pure+,185
Smart #3 Brabus,185
BYD SEAL 82.5 kWh AWD Excellence,185
Toyota bZ4X AWD,186
Zeekr X Privilege AWD,186
Audi Q4 Sportback e-tron 55 quattro,186
NIO ET5 Touring Long Range,186
MG Cyberster GT,186
Audi Q6 e-tron Sportback performance,186
Volvo EC40 Single Motor,186
Zeekr 001 Long Range RWD,186
Porsche Macan Electric,186
Porsche Taycan 4S Sport Turismo,187
Genesis G80 Electrified Luxury,188
Audi Q4 Sportback e-tron 45 quattro,188
Smart #1 Pure,188
Smart #1 Pro,188
Nissan Ariya 63kWh,188
Volvo EC40 Single Motor ER,188
Lexus UX 300e,188
Ford Mustang Mach-E SR RWD,189
BMW i5 M60 xDrive Sedan,189
