name,address,full_address,lat,lon,node
Lotteria,01 Nguyễn Thông,"01 Nguyễn Thông, nan, nan, nan, nan",10.7824512,106.6773049,411919061
KFC - Trần Hưng Đạo,330 Đường Trần Hưng Ðạo,"330 Đường Trần Hưng Ðạo, nan, nan, nan, nan",10.7567799,106.6852501,12486051343
Lotteria,11BIS Nguyễn Thị Minh Khai,"11BIS Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7863467,106.7016034,8995419779
Trạm Xăng Dầu Số 9,52 Bùi Thị Xuân,"52 Bùi Thị Xuân, nan, nan, nan, nan",10.7706834,106.6893379,8819566548
Petrolimex – Cửa hàng 06,123 Võ Thị Sáu,"123 Võ Thị Sáu, nan, nan, nan, nan",10.7859067,106.6902585,411926160
Cửa Hàng Xăng Dầu Petrolimex Số 31,32 Nguyễn Văn Trỗi,"32 Nguyễn Văn Trỗi, nan, nan, nan, nan",10.7932287,106.6799812,366414466
Trạm Xăng Dầu Số 3,228 Võ Văn Ngân,"228 Võ Văn Ngân, nan, nan, nan, nan",10.851001,106.7558169,5758041253
Cửa Hàng Xăng Dầu Petrolimex,372 Dường Lê Văn Sỹ,"372 Dường Lê Văn Sỹ, nan, nan, nan, nan",10.7879598,106.6781128,411920640
Bánh Mì Minh Châu,107 Đường Hoàng Diệu,"107 Đường Hoàng Diệu, nan, nan, nan, nan",10.7635257,106.704099,10206261234
Khách Sạn Dragon Palace,173 Đường Phạm Ngũ Lão,"173 Đường Phạm Ngũ Lão, nan, nan, nan, nan",10.7689864,106.6941859,4609314796
Siêu thị Big C,241 Hoàng Văn Thụ,"241 Hoàng Văn Thụ, nan, nan, nan, nan",10.7999475,106.6695734,6349848368
Khu công nghiệp Tân Bình,26/19C Trường Chinh,"26/19C Trường Chinh, nan, nan, nan, nan",10.8197459,106.6306651,3655114319
Chùa Vĩnh Phước,19/1 Trường Chinh,"19/1 Trường Chinh, nan, nan, nan, nan",10.8319835,106.6218512,5718947672
Dệt Thành Công,8 Trường Chinh,"8 Trường Chinh, nan, nan, nan, nan",10.8220446,106.629927,2091954891
Cà Phê Au Parc,32 Hàn Thuyên,"32 Hàn Thuyên, nan, Quận 1, Thành phố Hồ Chí Minh, nan",10.7787503,106.6981182,4605453644
Crêperie & Café,5 Han Thuyen,"5 Han Thuyen, nan, nan, nan, nan",10.7791622,106.698549,411918767
Nhà Hàng Tiệc Cưới Ngọc Trâm,948 Nguyễn Văn Quá,"948 Nguyễn Văn Quá, nan, nan, nan, nan",10.8491522,106.6365739,2243681111
Quán Bar Voodoo,92 (08) 3915 2836 Hồ Tùng Mậu,"92 (08) 3915 2836 Hồ Tùng Mậu, nan, nan, nan, nan",10.7726982,106.7036443,411926153
Quán Bar No.5,"44 Pasteur Street, District 1","44 Pasteur Street, District 1, nan, Q1, Ho Chi Minh City, nan",10.7712979,106.7024,411918860
Siêu Thị Mini Bình Minh,440 Đường Nơ Trang Long,"440 Đường Nơ Trang Long, nan, nan, nan, nan",10.8224451,106.7071706,5742464642
Khoa Y Tế Công Cộng ĐH Y Dược TPHCM,"159 Hưng Phú, phường 8, Quận 8, Ho Chi Minh City","159 Hưng Phú, phường 8, Quận 8, Ho Chi Minh City, nan, nan, nan, nan",10.7495992,106.6792934,6447291152
Nhà Sách Phương Nam,41 Ðinh Tiên Hoàng,"41 Ðinh Tiên Hoàng, nan, nan, nan, nan",10.7851214,106.7026331,10978360610
Cà Phê Đá,4 Alexandre de Rhodes,"4 Alexandre de Rhodes, nan, nan, nan, nan",10.7805631,106.6975344,1769456883
Cửa Hàng Fresh Donuts,33 Nguyễn Thị Minh Khai,"33 Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7827014,106.6980129,411926580
Cà Phê Ciao,74-76 Nguyễn Huệ,"74-76 Nguyễn Huệ, nan, nan, nan, nan",10.7751001,106.7029693,3335337343
Nhà Hàng Ấn Độ Curry Rice,66 Đông Du,"66 Đông Du, nan, nan, nan, nan",10.7762829,106.7042247,2907818488
Nhà Hàng Halal Sai Gon,31 Đông Du,"31 Đông Du, nan, nan, nan, nan",10.7760297,106.7047293,411926010
Nhà Hàng Cung Đình Rex,146 Đường Pasteur,"146 Đường Pasteur, nan, nan, nan, nan",10.7754972,106.7007063,411919215
FamilyMart,56 Phó Ðức Chính,"56 Phó Ðức Chính, nan, nan, nan, nan",10.7692304,106.7001682,411919179
Nhà Hàng Alibaba,90 Hung Vuong,"90 Hung Vuong, nan, nan, nan, nan",10.7743953,106.7040996,2034589236
Club 61,61 Nam Kì Khởi Nghĩa,"61 Nam Kì Khởi Nghĩa, nan, nan, nan, nan",10.7718973,106.7005703,12212093091
Techcombank,6 Nguyễn Thị Minh Khai,"6 Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7888764,106.7034958,2403044880
Phòng Tập California Wow Yoga & Fitness,Floor 5 Lý Thường Kiệt,"Floor 5 Lý Thường Kiệt, nan, nan, nan, nan",10.7560367,106.6626301,2302073736
Hyundai Bến Thành,360D Bến Vân Đồn,"360D Bến Vân Đồn, nan, nan, nan, nan",10.7555524,106.6903514,6754122517
Công Ty TNHH MTV Bưu Chính Vi Na,104 Đường số 32 P.Bình Trị Đông B Q.Bình,"104 Đường số 32 P.Bình Trị Đông B Q.Bình, nan, nan, nan, nan",10.7541897,106.6091127,1802527654
Topping Beef,106 Nguyễn Thị Minh Khai,"106 Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7797991,106.6949139,2664205599
The Coffee Bean & Tea Leaf,94 Nguyễn Thị Minh Khai,"94 Nguyễn Thị Minh Khai, nan, nan, nan, nan",10.7805315,106.6956539,411926604
Adidas,66 Lê Lợi,"66 Lê Lợi, nan, nan, nan, nan",10.7737969,106.7000608,9824009360
Circle K,53 Nguyễn Du,"53 Nguyễn Du, nan, nan, nan, nan",10.7796921,106.7007494,411926624
Quán Cà Phê Papa,6B Công trường Quốc Tế,"6B Công trường Quốc Tế, nan, nan, nan, nan",10.7833122,106.6956127,411926599
Vikki Bank,136 Hai Bà Trưng,"136 Hai Bà Trưng, nan, nan, nan, nan",10.7841239,106.6968492,411926578
British Council,25 Lê Duẩn,"25 Lê Duẩn, nan, nan, nan, nan",10.7833202,106.701755,6858588487
The Coffee Bean & Tea Leaf,235 Đồng Khởi,"235 Đồng Khởi, nan, Quận 1, TP HCM, nan",10.7786273,106.6999908,2408529960
Cà Phê Cuộc Sống Dễ Dàng,10A Phạm Ngọc Thạch,"10A Phạm Ngọc Thạch, nan, nan, nan, nan",10.7826261,106.6965122,411918898
Nhà Hàng Ngon,160 Pasteur,"160 Pasteur, nan, nan, nan, nan",10.7773464,106.6996325,411919193
Nhà Hàng Rơm BBQ,2-4-6 Lưu Văn Lang,"2-4-6 Lưu Văn Lang, nan, nan, nan, nan",10.7736789,106.6992615,411926001
Nhà Hàng Nướng Barbecue Garden,135 Nam Kỳ Khởi Nghĩa,"135 Nam Kỳ Khởi Nghĩa, nan, nan, nan, nan",10.7748184,106.6992492,411926545
rạp chiếu phim CGV,101 Nguyễn Văn Linh,"101 Nguyễn Văn Linh, nan, nan, nan, VN",10.7290613,106.7191726,10794829470
COOP EXTRA,101 Nguyễn Văn Linh,"101 Nguyễn Văn Linh, nan, nan, nan, nan",10.7284509,106.7183878,10794829459
Shop&Go!,105C Bến Vân Đồn,"105C Bến Vân Đồn, nan, nan, nan, nan",10.764179,106.7011229,6754230746
Cafe Trung Nguyên,603 Đường Trần Hưng Ðạo,"603 Đường Trần Hưng Ðạo, nan, nan, nan, nan",10.7563655,106.685485,4609836317
Agribank,2 Hồ Tùng Mậu,"2 Hồ Tùng Mậu, nan, nan, nan, nan",10.769774,106.705235,1769173843
BIDV,134 Đường Nguyễn Công Trứ,"134 Đường Nguyễn Công Trứ, nan, nan, nan, nan",10.7692401,106.7017773,411926247
Eximbank,66 Phó Đức Chính,"66 Phó Đức Chính, nan, nan, nan, nan",10.7700479,106.6997069,411926069
Maritime Bank,180-192 Đường Nguyễn Công Trứ,"180-192 Đường Nguyễn Công Trứ, nan, nan, nan, nan",10.7686406,106.7011056,11744922279
Cửa Hàng Tiện Lợi Shop & Go,243 Hai Bà Trưng,"243 Hai Bà Trưng, nan, nan, nan, nan",10.7872473,106.6925533,12363632346
Phở Bắc Hải,25 Nguyễn Thị Minh Khai,"25 Nguyễn Thị Minh Khai, nan, nan, Quận 1, VN",10.7838752,106.6992161,2037756039
Quán Ăn Hoàng Ký 1,94 Đường Huỳnh Mẫn Đạt,"94 Đường Huỳnh Mẫn Đạt, nan, nan, Quận 5, VN",10.755919,106.676499,5794854830
Nhà Hàng Hồ Tây,20 Trần Cao Vân,"20 Trần Cao Vân, nan, nan, Quận 1, VN",10.784324,106.697355,411925935
